time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-17T15:44:25.423Z,41.385,-126.1229,10.55,2.6,ml,,261,1.68,0.22,us,us6000hlts,2022-05-18T10:08:10.283Z,"165 km WSW of Crescent City, California",earthquake,10.6,10,0.044,68,reviewed,us,us
2022-05-17T15:34:06.984Z,29.5673,130.6862,10,4.9,mb,,95,1.946,0.67,us,us6000hltq,2022-05-17T16:06:22.040Z,"75 km S of Koshima, Japan",earthquake,6.6,1.8,0.048,140,reviewed,us,us
2022-05-17T14:46:44.108Z,-24.1849,-67.3187,211.47,4.2,mb,,120,1.459,0.45,us,us6000hlsi,2022-05-17T15:29:44.040Z,"101 km W of San Antonio de los Cobres, Argentina",earthquake,10.7,10.2,0.235,7,reviewed,us,us
2022-05-17T14:05:50.008Z,31.6176,50.2795,10,4.9,mb,,60,5.667,0.75,us,us6000hlsd,2022-05-17T16:56:55.902Z,"74 km ENE of Rāmhormoz, Iran",earthquake,8.4,1.9,0.051,122,reviewed,us,us
2022-05-17T13:46:30.139Z,34.7864,139.6559,144.07,4.5,mb,,100,1.217,0.5,us,us6000hls5,2022-05-18T08:14:37.987Z,"29 km SW of Tateyama, Japan",earthquake,5.9,6.5,0.093,37,reviewed,us,us
2022-05-17T13:17:51.871Z,33.3876,141.5066,11.38,5.5,mww,,83,1.444,0.32,us,us6000hlry,2022-05-19T20:00:01.040Z,"223 km SSE of Katsuura, Japan",earthquake,7.8,3.6,0.049,40,reviewed,us,us
2022-05-17T13:06:59.455Z,31.9338,50.4879,10,4.4,mb,,117,5.572,0.46,us,us6000hlrv,2022-05-17T13:54:03.040Z,"36 km S of Fārsān, Iran",earthquake,8.3,1.9,0.107,28,reviewed,us,us
2022-05-17T13:06:42.904Z,55.7459,-161.4608,159.26,3.4,ml,,137,0.459,0.27,us,us6000hlrt,2022-05-17T13:45:43.040Z,"32 km SSW of Nelson Lagoon, Alaska",earthquake,7.4,10.2,0.071,26,reviewed,us,us
2022-05-17T12:41:06.848Z,-8.4703,128.3348,10,4.9,mb,,69,4.214,0.66,us,us6000hlrp,2022-05-17T13:03:38.040Z,"147 km E of Lospalos, Timor Leste",earthquake,7.3,1.9,0.067,69,reviewed,us,us
2022-05-17T11:21:07.108Z,31.6637,-104.3728,8.7,2.5,ml,,61,0.092,0.3,us,us6000hlrd,2022-05-18T07:54:24.040Z,"56 km S of Whites City, New Mexico",earthquake,1.1,5.7,0.091,72,reviewed,us,us
2022-05-17T11:21:07.070Z,31.65220843,-104.3661776,6.774267578,2.7,ml,16,67,0.08850699966,0.4,tx,tx2022jpix,2022-05-18T06:46:44.424Z,"58 km S of Whites City, New Mexico",earthquake,1.682371866,1.789345839,0.2,11,reviewed,tx,tx
2022-05-17T11:08:42.470Z,18.669,-66.8743333333333,66.1,2.77,md,13,219,,0.1,pr,pr71349123,2022-05-17T11:41:25.720Z,"20 km N of Camuy, Puerto Rico",earthquake,0.72,0.48,0.102709737191694,11,reviewed,pr,pr
2022-05-17T10:30:47.229Z,7.7207,-82.2184,10,4.4,mb,,139,1.163,0.41,us,us6000hlr7,2022-05-20T11:13:31.119Z,"55 km S of Boca Chica, Panama",earthquake,6.1,1.6,0.048,125,reviewed,us,us
2022-05-17T10:21:56.510Z,-5.9239,150.0901,57.69,4.8,mb,,45,2.688,0.48,us,us6000hlr6,2022-05-17T11:42:05.599Z,"41 km S of Kimbe, Papua New Guinea",earthquake,8.7,6.1,0.073,59,reviewed,us,us
